"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","4","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","setUpServerAuthSettings","setUpServerAuthSettings",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameTest","User should not be able to create project with empty name",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","3","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"broken","Mon Nov 25 15:49:36 GMT 2024","Mon Nov 25 15:49:37 GMT 2024","463","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"failed","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
"skipped","Mon Nov 25 15:49:45 GMT 2024","Mon Nov 25 15:49:45 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete a project",""
